Entity,Code,Year,Self-harm,Exposure to forces of nature,Conflict and terrorism,Interpersonal violence,Neglected tropical diseases and malaria,Substance use disorders,Skin and subcutaneous diseases,Enteric infections,Diabetes and kidney diseases,Cardiovascular diseases,Digestive diseases,Nutritional deficiencies,Respiratory infections and tuberculosis,Neonatal disorders,Chronic respiratory diseases,Other non-communicable diseases,Maternal disorders,Unintentional injuries,Musculoskeletal disorders,Neoplasms,Mental disorders,Neurological disorders,HIV/AIDS and sexually transmitted infections,Transport injuries,Sense organ diseases
Kuwait,KWT,1990,0.582705144,0,18.53304255,0.646426579,0.111432523,0.746109988,1.679055694,0.942581211,3.441901586,10.96088144,1.531092118,1.348186829,3.309747056,6.793781631,1.592877466,12.40323069,0.072253302,4.148960073,5.541775104,4.508671721,7.810666386,4.280125695,0.078745032,6.748458927,1.676795469
Kyrgyzstan,KGZ,1990,1.644077354,0,0,1.776503643,0.222768794,1.798961364,1.470964825,3.240802803,1.87607996,15.86631357,3.055332229,1.525735172,16.64129609,10.89896974,3.746166005,5.810663269,0.304001081,7.448848064,2.566312545,7.09288685,3.131196708,2.798477502,0.170496774,3.657910209,1.41653924
Laos,LAO,1990,0.645772232,0.000238958,0.439991282,0.97690459,0.956790007,0.22215698,0.661272532,9.32506219,1.974203833,5.454248072,1.972888296,3.374556845,26.20805009,14.85959377,2.323886836,5.785061497,1.476028476,3.526349312,1.251997591,2.761411721,1.319953823,0.980743073,0.109829733,2.134963435,0.613010624
Latvia,LVA,1991,3.146985339,0,0.004797433,1.560512548,0.10862992,2.773084427,0.918882699,0.457025147,1.375049446,32.14490697,2.675920209,0.6352607,1.908639597,1.994489186,2.013118625,5.184983688,0.068139723,9.891975327,3.935664346,12.99996491,4.250415588,3.282148183,0.244205044,5.742665335,2.073600423
Lebanon,LBN,1990,0.578375534,0.001896776,7.274617128,7.211804254,0.185877107,0.520069052,1.107505022,1.130161415,3.123126329,17.45746378,1.667456807,0.99425626,3.124055331,12.76167654,2.119592096,10.3526008,0.271990664,3.22860637,3.105368228,7.002323001,5.212492597,2.991448341,0.323105978,1.986235961,1.77025066
Lesotho,LSO,1993,1.119819437,0.001884565,0.002053612,2.636464307,0.626912961,0.526059316,0.769844732,12.42724396,1.969064193,5.523024453,2.138193149,3.106195232,15.38886406,15.85602715,2.537034041,3.693603374,0.684539825,2.652350563,1.449860485,2.761531267,2.522475825,1.399813555,12.71472035,2.346992277,1.14051549
Liberia,LBR,1990,0.179285148,0.001214153,8.743061404,0.243250213,13.63006312,0.090862328,0.348752221,12.99469651,0.983337124,2.930929403,1.596736126,3.93737186,14.10000434,10.88396606,0.664000661,5.328040767,1.123325715,2.029129333,0.607019593,1.291438429,0.956223392,0.821630075,1.412916001,1.02469703,0.448758049
Libya,LBY,1990,0.706287244,0,0.220395433,0.487622531,0.564845286,0.544737393,1.29962928,2.314670846,2.362366335,14.15200645,1.908168141,1.305136186,4.587283754,19.62258548,1.778622291,13.51163449,0.243629877,4.65527414,3.172209836,4.866530365,5.233434193,3.212862849,0.156535372,7.449018738,1.510933948
Lithuania,LTU,1990,3.681049137,0,0,1.253852054,0.128883472,3.258444888,1.107367642,0.498074131,1.356349459,28.07926325,2.718412016,0.630841047,1.886190401,2.039299565,2.870876277,6.021575162,0.083267403,9.443968329,4.352482708,13.6030944,4.9257381,3.632367528,0.134527389,5.620074155,2.246037094
Luxembourg,LUX,1990,2.496007682,0.000207986,0.000416207,0.457014251,0.018601648,2.154935507,2.107388749,0.285015811,2.28537708,23.29172805,4.037737407,0.476883244,1.515076227,1.541592217,4.357913269,6.080562942,0.037404307,5.16285445,7.725361224,18.79901919,6.315885991,4.931323777,0.244361704,3.776131571,1.543357242
Madagascar,MDG,1990,0.411294216,0.002223696,0,0.122979317,5.396326745,0.195121786,0.591594466,16.46115419,0.98536518,5.630246997,1.658364252,9.931837483,18.34582474,9.901453464,2.10961132,4.83317147,1.202041286,2.396590813,0.846378276,2.123734517,1.561592436,0.911102392,1.637677928,1.640154534,0.622951901
Malawi,MWI,1990,0.27064641,0.000117139,0,0.121591533,15.89860987,0.139987366,0.435091957,16.41227037,0.818623221,2.484876536,1.566052827,4.777427724,13.6367829,10.82516791,0.753147031,4.555004271,0.741600889,1.997185609,0.594713671,2.348372895,1.046049166,0.627603944,8.313468066,1.062332378,0.425144151
Malaysia,MYS,1990,1.079038283,0.000631924,0.00260885,0.591939831,1.708811774,0.754725045,2.484766582,2.096508319,4.077039151,16.76081513,2.692993981,2.847708323,6.454899782,7.797990297,3.588901759,6.685219458,0.681134144,4.230315962,5.133697339,7.880686894,5.365886097,3.479706851,0.192659688,6.490025609,2.619865044
Maldives,MDV,1990,0.669365056,0,0,0.245050156,1.539933223,0.278081688,1.393349727,5.234072106,2.64205555,10.03139856,1.37930424,5.234297324,5.317288466,21.31972735,3.807034406,9.471754868,1.868839218,6.981071642,2.302432674,3.468201555,2.722193538,2.359377647,0.142303856,1.571883921,1.198841954
Mali,MLI,1990,0.171800531,9.01E-05,0.335845738,0.460881275,15.35406185,0.073001508,0.390275404,15.70061442,0.84261395,2.613384112,1.481116718,6.123568301,8.909305117,16.16892075,0.869223648,5.177753253,1.171843554,2.293973608,0.510062819,1.251812683,0.801467827,0.722462679,1.166606541,1.084123141,0.458853907
Malta,MLT,1990,0.833633697,0,0.001679601,0.467153071,0.097146194,1.30825736,2.849765099,0.201770734,4.351219233,24.94014364,2.592155608,0.553477138,2.187167358,3.095343667,3.908562948,7.414924165,0.071560528,4.680753918,9.00506885,14.86237557,7.395641117,5.116260122,0.153435191,1.785486755,1.775467286
Marshall Islands,MHL,1990,3.319743478,0,0,1.651655903,0.748993357,0.547751648,1.841523236,4.86520754,4.801349367,15.53032025,3.282810716,3.014926626,10.10637652,10.69834443,4.589222372,5.010567365,0.606471257,4.651531027,2.818132835,5.153837854,3.11557392,2.293308575,1.267756619,3.554776617,1.270174036
Mauritania,MRT,1990,0.333789803,0,0.137649826,0.470083368,1.70186444,0.18027659,0.672227379,16.66659538,1.670631282,5.252393868,2.432731699,5.895086676,11.98655913,16.52102793,1.406942473,4.992518983,2.789028998,1.925432964,1.168684073,2.323678322,1.636180192,1.462885594,1.513288354,4.005961818,0.825954508
Mauritius,MUS,1990,2.393331639,0.000289405,0.000261578,0.506101717,1.430321344,1.658154144,1.966533687,1.56311297,7.241083078,24.09489955,4.40890299,1.88242337,3.756413997,8.919728073,4.287245938,5.240451788,0.306322894,3.736706087,5.085704701,6.052166827,5.474829126,3.835329868,0.212830889,2.821933451,2.451626971
Mexico,MEX,1993,0.661520771,0.034816245,0.001392825,3.7325911,0.544621368,1.532352823,1.551790054,5.436815941,6.235593154,6.750374005,5.741191193,3.001254807,7.936538,12.34191347,2.112862502,8.651554271,0.420377991,6.014159583,4.871487875,5.885903364,4.543545121,3.751098685,0.839522186,4.515681387,1.910433027
Micronesia (country),FSM,1991,3.102382692,0.006663707,0,1.195420984,1.220082098,0.55195591,1.601916273,4.111653678,5.38487541,17.15698975,3.309859897,2.574991614,10.50111539,9.398804181,5.031839562,4.922041667,0.790273598,4.392581225,2.737493229,5.490009435,2.787847999,2.149740722,2.412096539,3.553137473,1.185438354
Moldova,MDA,1990,2.012545848,0,0,1.548369368,0.155013415,1.819234055,1.115323583,0.869487749,1.531767877,24.42617906,7.954018781,0.98489975,5.181941521,4.303427405,3.101485329,6.223240736,0.153174398,8.519604595,3.594900087,11.18344755,4.170593905,3.092826996,0.213529702,4.945580331,1.96650318
Monaco,MCO,1990,1.534052546,0,0,0.154900768,0.090924418,1.054005438,1.824325701,0.171613706,1.948534029,25.88498878,2.770475347,0.316664206,2.24515698,0.833974224,3.698647276,5.070995798,0.01241885,4.226239761,8.282041947,24.30283827,6.041124876,5.296147414,0.199848399,1.772921975,2.112871707
Mongolia,MNG,1990,1.582368801,0.188811148,0,1.090509951,0.248626616,0.630684921,1.139633606,5.983877102,1.56706423,12.58011508,5.199277982,1.39411328,24.37555983,10.75778526,1.434189035,4.880939183,0.647647984,5.924899985,1.567448399,6.894032223,2.286863449,1.738921687,0.379123522,1.809357482,0.901254738
Montenegro,MNE,1990,2.729540822,0,0,1.125974561,0.159627503,1.334566336,1.595849474,0.634768644,3.795866962,27.10954874,2.62878528,0.800651295,1.863954644,5.973380944,1.295311764,5.112008255,0.061129207,6.790626574,5.633117112,15.4503109,5.344088378,4.378735116,0.104429792,3.322729506,2.259364166
Morocco,MAR,1990,0.901592725,0.000501721,0.054392317,0.165843657,0.305326851,0.392946983,0.923348644,9.887926141,1.815614458,13.10873793,1.666255515,1.578995996,11.23035733,15.70877778,1.533957674,7.991365387,1.353461777,4.565887682,2.605445472,3.145156071,4.278017467,2.258641766,0.433799905,5.199280296,1.166828824
Mozambique,MOZ,1990,0.240128043,0.000723295,1.299865676,0.246702029,15.44915637,0.142309073,0.457003782,14.81177173,0.795268565,2.775766224,1.043509487,5.855290704,16.43439106,11.24259196,0.785047583,4.19741983,0.716672081,2.004491554,0.601758097,1.478238151,1.201561035,0.675388807,3.523220364,1.236448044,0.474679483
Myanmar,MMR,1990,0.467465567,2.03E-05,0.232761866,0.316559124,2.416503499,0.26421684,0.801107324,13.11983387,2.607571931,8.726580822,3.149698754,2.178723669,18.83775861,10.70756355,3.516444286,5.199952521,0.463192279,5.710849491,1.545147737,3.677820911,1.49054708,1.255313264,0.172658041,2.615665645,1.002115089
Namibia,NAM,1990,0.885693966,0,0.407499936,1.988124033,5.829379588,0.753365257,0.910418426,8.022279963,2.43323138,7.743310878,2.431139458,4.825506862,15.35303413,13.80756669,2.75984689,4.249509625,0.865607975,3.006114476,1.647898662,2.581535719,2.470739705,1.725223833,3.697106733,2.798309868,1.270504484
